,PHILIPPINES,NATIONAL CAPITAL REGION,City of Manila,City of Mandaluyong,City of San Juan,Quezon City,City of Marikina,City of Pasig,City of Caloocan,City of Malabon,City of Navotas,City of Valenzuela,City of Las Pi?as,City of Muntinlupa,City of Para?aque,Pasay City,City of Makati,Pateros,City of Taguig,CAR - CORDILLERA ADMINISTRATIVE REGION,Abra,Benguet (Excluding City of Baguio),City of Baguio,Ifugao,Kalinga,Mountain Province,Apayao,REGION I - ILOCOS REGION,Ilocos Norte,Ilocos Sur,La Union,Pangasinan,REGION II - CAGAYAN VALLEY,Batanes,Cagayan,Isabela,Nueva Vizcaya,Quirino,REGION III - CENTRAL LUZON,Aurora,Bataan,Bulacan,Nueva Ecija,Pampanga (Excluding City of Angeles),City of Angeles,Tarlac,Zambales (Excluding City of Olongapo),City of Olongapo,REGION IVA - CALABARZON,Batangas,Cavite,Laguna,Quezon (Excluding City of Lucena),City of Lucena,Rizal,MIMAROPA REGION,Marinduque,Occidental Mindoro,Oriental Mindoro,Palawan (Excluding City of Puerto Princesa),City of Puerto Princesa,Romblon,REGION V - BICOL REGION,Albay,Camarines Norte,Camarines Sur,Catanduanes,Masbate,Sorsogon,REGION VI - WESTERN VISAYAS,Aklan,Antique,Capiz,Iloilo (Excluding City of Iloilo),City of Iloilo,Guimaras,NEGROS ISLAND REGION,Negros Occidental (Excluding City of Bacolod),City of Bacolod,Negros Oriental,Siquijor,REGION VII - CENTRAL VISAYAS,Bohol,Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),City of Cebu,City of Lapu-Lapu (Opon),City of Mandaue,REGION VIII - EASTERN VISAYAS,Eastern Samar,Leyte (Excluding City of Tacloban),City of Tacloban,Northern Samar,Samar (Western Samar),Southern Leyte,Biliran,REGION IX - ZAMBOANGA PENINSULA,Zamboanga Del Norte,Zamboanga Del Sur (Excluding City of Zamboanga),City of Zamboanga,Zamboanga Sibugay,Isabela City,REGION X - NORTHERN MINDANAO,Bukidnon,Camiguin,Lanao Del Norte (Excluding City of Iligan),City of Iligan,Misamis Occidental,Misamis Oriental (Excluding City of Cagayan De Oro),City of Cagayan De Oro,REGION XI - DAVAO REGION,Davao Del Norte,Davao Del Sur (Excluding City of Davao),City of Davao,Davao Oriental,Davao De Oro,Davao Occidental,REGION XII - SOCCSKSARGEN1/,Cotabato (North Cotabato),South Cotabato (Excluding City of General Santos),City of General Santos (Dadiangas),Sultan Kudarat,Sarangani,CARAGA,Agusan Del Norte (Excluding City of Butuan),City of Butuan,Agusan Del Sur,Surigao Del Norte,Surigao Del Sur,Dinagat Islands,BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,Basilan,Lanao Del Sur,Maguindanao,Maguindanao del Sur,Maguindanao del Norte,Sulu,Tawi-Tawi,Cotabato City
Share to Family Expenditure, 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 ,100,100
Food and Non-Alcoholic Beverages, 40.9 , 37.7 , 44.1 , 36.2 , 31.4 , 39.8 , 35.4 , 32.0 , 40.9 , 43.9 , 43.7 , 38.3 , 33.2 , 42.1 , 34.4 , 38.8 , 25.8 , 37.1 , 36.1 , 39.3 , 46.0 , 36.7 , 34.3 , 39.7 , 44.4 , 42.7 , 45.7 , 43.1 , 46.9 , 37.4 , 42.1 , 43.8 , 42.1 , 34.1 , 43.1 , 41.9 , 41.7 , 40.1 , 40.4 , 43.2 , 40.9 , 39.5 , 40.7 , 41.1 , 37.8 , 41.8 , 41.7 , 35.2 , 39.0 , 35.5 , 38.0 , 39.7 , 47.3 , 43.7 , 38.7 , 42.1 , 47.0 , 45.1 , 36.8 , 45.7 , 37.3 , 44.8 , 43.0 , 41.4 , 45.0 , 39.9 , 45.0 , 47.8 , 46.1 , 41.1 , 42.4 , 40.5 , 46.8 , 39.6 , 35.5 , 43.4 , 44.2 , 46.2 , 42.4 , 41.4 , 40.2 , 41.9 , 40.6 , 43.8 , 43.0 , 38.3 , 37.7 , 44.5 , 46.8 , 43.4 , 37.1 , 46.4 , 44.2 , 48.7 , 43.2 , 45.7 , 49.2 , 43.2 , 46.4 , 41.8 , 49.3 , 41.2 , 43.0 , 40.5 , 46.6 , 38.0 , 40.5 , 42.7 , 37.0 , 39.7 , 44.9 , 39.6 , 34.0 , 46.0 , 45.6 , 50.0 , 43.2 , 43.3 , 41.8 , 39.6 , 44.7 , 49.5 , 45.3 , 44.6 , 37.8 , 48.9 , 44.4 , 48.5 , 45.2 , 57.5 , 55.1 , 62.5 , 55.2 , 56.7 , 53.6 , 64.7 ,46.3,47
    Food Consumed at Home, 35.3 , 27.8 , 30.2 , 25.3 , 22.5 , 26.3 , 24.5 , 25.2 , 32.8 , 37.2 , 36.5 , 30.3 , 28.4 , 34.6 , 28.1 , 25.2 , 18.9 , 29.2 , 28.5 , 36.6 , 44.6 , 34.6 , 31.1 , 37.4 , 41.4 , 40.6 , 39.9 , 36.8 , 41.4 , 35.1 , 37.7 , 35.6 , 37.1 , 33.8 , 38.5 , 36.1 , 36.9 , 37.4 , 35.6 , 39.8 , 35.8 , 33.4 , 37.2 , 36.8 , 32.7 , 36.3 , 39.5 , 31.5 , 32.5 , 32.8 , 31.6 , 33.1 , 39.7 , 35.5 , 29.7 , 39.2 , 41.4 , 41.9 , 34.7 , 44.0 , 33.8 , 40.4 , 41.0 , 39.1 , 41.5 , 38.6 , 40.6 , 46.6 , 44.0 , 37.8 , 39.9 , 38.9 , 40.4 , 37.1 , 31.1 , 41.0 , 38.9 , 40.8 , 34.8 , 37.4 , 38.3 , 37.4 , 38.6 , 39.7 , 35.1 , 33.1 , 33.4 , 42.5 , 44.5 , 41.7 , 34.2 , 44.2 , 41.3 , 47.3 , 39.5 , 42.7 , 46.7 , 41.3 , 42.5 , 38.6 , 46.3 , 38.9 , 41.2 , 38.3 , 44.0 , 34.5 , 37.5 , 40.9 , 34.7 , 36.7 , 39.5 , 36.7 , 31.7 , 44.1 , 42.4 , 48.2 , 38.7 , 39.8 , 36.8 , 34.3 , 40.1 , 45.0 , 42.5 , 41.1 , 34.1 , 45.3 , 43.2 , 46.4 , 44.7 , 54.3 , 53.8 , 58.7 , 51.0 , 51.8 , 50.1 , 63.2 ,46.1,41.6
    Food Regularly Consumed Outside the Home, 5.6 , 9.9 , 13.9 , 10.9 , 9.0 , 13.5 , 10.9 , 6.8 , 8.2 , 6.7 , 7.2 , 7.9 , 4.9 , 7.5 , 6.3 , 13.5 , 6.9 , 7.9 , 7.7 , 2.7 , 1.4 , 2.1 , 3.1 , 2.3 , 3.0 , 2.1 , 5.7 , 6.3 , 5.5 , 2.3 , 4.5 , 8.2 , 5.0 , 0.3 , 4.6 , 5.8 , 4.8 , 2.7 , 4.8 , 3.4 , 5.1 , 6.0 , 3.5 , 4.3 , 5.1 , 5.5 , 2.2 , 3.6 , 6.5 , 2.7 , 6.4 , 6.6 , 7.6 , 8.3 , 9.0 , 2.9 , 5.5 , 3.2 , 2.1 , 1.7 , 3.5 , 4.4 , 2.0 , 2.3 , 3.5 , 1.4 , 4.4 , 1.2 , 2.1 , 3.3 , 2.5 , 1.6 , 6.4 , 2.5 , 4.4 , 2.4 , 5.4 , 5.4 , 7.6 , 4.0 , 1.9 , 4.5 , 1.9 , 4.2 , 7.9 , 5.2 , 4.2 , 2.0 , 2.2 , 1.6 , 3.0 , 2.2 , 2.9 , 1.3 , 3.7 , 2.9 , 2.5 , 1.9 , 3.9 , 3.2 , 2.9 , 2.3 , 1.8 , 2.2 , 2.6 , 3.6 , 2.9 , 1.7 , 2.3 , 3.0 , 5.4 , 2.9 , 2.3 , 2.0 , 3.2 , 1.8 , 4.5 , 3.6 , 5.0 , 5.3 , 4.6 , 4.5 , 2.7 , 3.5 , 3.7 , 3.6 , 1.3 , 2.1 , 0.6 , 3.2 , 1.4 , 3.8 , 4.2 , 4.8 , 3.6 , 1.5 ,0.2,5.3
"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages", 0.0 , -   , -   , 0.0 , -   , -   , -   , 0.0 , -   , 0.0 , -   , -   , 0.0 , -   , -   , -   , 0.0 , -   , -   , 0.0 , -   , -   , 0.0 , 0.0 , -   , 0.0 , 0.2 , 0.0 , 0.0 , -   , 0.0 , 0.0 , 0.0 , -   , -   , 0.0 , -   , 0.0 , -   , -   , -   , 0.0 , -   , -   , -   , -   , 0.0 , 0.0 , -   , -   , -   , -   , -   , -   , 0.0 , 0.0 , 0.0 , 0.0 , -   , -   , -   , -   , 0.0 , -   , 0.0 , 0.0 , 0.0 , -   , 0.0 , 0.0 , 0.0 , 0.1 , 0.0 , 0.0 , -   , 0.0 , -   , -   , -   , -   , -   , 0.0 , 0.0 , -   , -   , -   , 0.0 , 0.0 , 0.0 , 0.0 , -   , 0.0 , -   , 0.1 , 0.0 , -   , -   , 0.0 , -   , -   , -   , 0.0 , -   , -   , -   , -   , 0.0 , -   , 0.0 , -   , -   , -   , -   , -   , 0.0 , -   , 0.0 , 0.0 , -   , -   , 0.1 , -   , 0.0 , -   , -   , 0.0 , 0.0 , -   , -   , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , -   , 0.0 ,0,-
Alcoholic Beverages and Tobacco, 1.4 , 1.2 , 1.4 , 1.0 , 0.6 , 1.6 , 1.0 , 1.2 , 0.9 , 1.0 , 1.3 , 1.0 , 0.6 , 1.2 , 1.0 , 1.1 , 0.7 , 1.0 , 1.1 , 1.2 , 1.6 , 1.2 , 0.8 , 1.7 , 1.5 , 1.0 , 1.7 , 1.5 , 1.1 , 1.9 , 1.6 , 1.4 , 1.9 , 1.6 , 1.9 , 2.0 , 1.9 , 1.6 , 1.6 , 1.7 , 1.3 , 1.8 , 2.0 , 1.5 , 1.1 , 1.8 , 1.2 , 1.3 , 1.4 , 1.3 , 1.2 , 1.5 , 1.8 , 1.5 , 1.6 , 1.5 , 1.7 , 1.7 , 2.4 , 1.0 , 0.9 , 0.8 , 1.6 , 1.7 , 1.8 , 1.4 , 2.0 , 1.8 , 1.7 , 1.8 , 1.9 , 1.4 , 1.9 , 2.0 , 1.5 , 1.6 , 1.5 , 1.9 , 1.5 , 0.8 , 1.4 , 1.2 , 1.0 , 1.3 , 1.2 , 1.1 , 1.2 , 1.5 , 1.1 , 1.6 , 1.3 , 1.4 , 1.1 , 1.9 , 1.4 , 1.2 , 1.4 , 1.4 , 1.0 , 1.2 , 0.8 , 1.3 , 1.5 , 1.3 , 1.4 , 1.2 , 1.2 , 1.5 , 1.1 , 1.3 , 1.2 , 1.5 , 1.3 , 1.3 , 1.1 , 1.8 , 1.6 , 1.5 , 1.7 , 1.2 , 1.7 , 2.0 , 1.4 , 1.6 , 1.3 , 1.4 , 1.6 , 1.1 , 1.4 , 1.2 , 1.4 , 1.1 , 1.2 , 1.2 , 1.3 , 0.8 ,2.4,0.9
Clothing and Footwear, 1.9 , 1.6 , 1.5 , 1.8 , 2.0 , 1.5 , 1.4 , 1.7 , 1.6 , 1.6 , 2.1 , 1.5 , 1.6 , 1.9 , 1.6 , 1.8 , 1.7 , 1.5 , 1.8 , 2.2 , 2.0 , 2.1 , 1.6 , 2.5 , 2.9 , 2.9 , 2.9 , 1.8 , 2.0 , 1.6 , 2.2 , 1.6 , 1.9 , 2.2 , 1.8 , 1.7 , 2.6 , 2.6 , 2.1 , 2.4 , 1.8 , 2.1 , 2.0 , 2.4 , 2.5 , 2.0 , 1.9 , 1.9 , 1.9 , 1.7 , 2.2 , 1.7 , 1.8 , 1.9 , 1.6 , 2.2 , 1.7 , 2.6 , 2.3 , 2.2 , 1.9 , 2.0 , 1.9 , 2.1 , 1.8 , 1.6 , 1.9 , 2.0 , 2.0 , 2.1 , 2.0 , 2.2 , 1.9 , 2.2 , 2.1 , 2.7 , 2.2 , 2.3 , 2.2 , 1.9 , 2.4 , 1.7 , 1.6 , 1.8 , 1.4 , 1.8 , 1.9 , 1.8 , 1.7 , 1.9 , 1.7 , 1.7 , 1.6 , 1.9 , 1.9 , 2.2 , 2.0 , 2.3 , 1.9 , 2.7 , 2.4 , 1.9 , 2.2 , 2.5 , 2.2 , 1.8 , 1.7 , 1.8 , 1.7 , 2.1 , 1.9 , 2.6 , 1.8 , 2.2 , 2.4 , 3.0 , 2.5 , 2.8 , 2.3 , 2.1 , 2.5 , 2.9 , 1.9 , 2.0 , 2.2 , 2.0 , 1.8 , 1.5 , 2.2 , 3.0 , 2.9 , 2.2 , 3.0 , 2.9 , 3.2 , 3.3 ,3.7,2.9
"Housing, Water, Electricity, Gas and Other Fuels", 22.9 , 28.8 , 26.2 , 30.5 , 31.0 , 25.8 , 28.1 , 30.2 , 25.8 , 26.4 , 26.7 , 27.1 , 34.1 , 24.9 , 29.9 , 31.3 , 41.6 , 31.0 , 29.5 , 24.2 , 17.7 , 29.8 , 29.7 , 19.0 , 18.6 , 15.0 , 15.8 , 21.1 , 17.0 , 24.9 , 19.1 , 22.0 , 21.5 , 25.6 , 21.4 , 22.8 , 18.4 , 19.5 , 21.9 , 17.0 , 23.3 , 20.5 , 19.6 , 23.4 , 27.9 , 21.3 , 22.8 , 29.5 , 23.7 , 24.7 , 25.6 , 22.4 , 18.1 , 22.6 , 23.9 , 19.9 , 17.2 , 18.0 , 21.3 , 18.9 , 26.3 , 16.0 , 21.1 , 23.7 , 20.7 , 23.2 , 18.9 , 15.7 , 17.9 , 20.0 , 21.0 , 17.1 , 18.6 , 20.4 , 24.1 , 14.6 , 19.5 , 17.5 , 20.9 , 23.2 , 18.1 , 24.0 , 22.1 , 22.5 , 26.8 , 27.7 , 25.3 , 20.2 , 19.0 , 20.4 , 26.6 , 23.0 , 16.7 , 17.9 , 19.0 , 17.0 , 15.8 , 17.7 , 18.5 , 15.4 , 16.0 , 21.0 , 19.3 , 19.8 , 17.1 , 25.2 , 17.0 , 20.8 , 26.2 , 23.0 , 20.3 , 19.6 , 27.8 , 16.4 , 18.6 , 17.5 , 17.8 , 17.3 , 17.4 , 21.3 , 16.7 , 16.1 , 18.3 , 17.2 , 21.1 , 14.2 , 21.2 , 18.4 , 19.6 , 14.6 , 14.6 , 13.2 , 14.3 , 12.9 , 15.8 , 10.3 ,26.6,19.1
Furnishings and Routine Household Maintenance, 2.6 , 2.6 , 1.9 , 2.4 , 3.1 , 2.9 , 3.0 , 2.5 , 2.3 , 2.5 , 2.8 , 2.5 , 2.9 , 2.4 , 4.2 , 1.8 , 2.6 , 2.4 , 2.6 , 2.0 , 2.2 , 1.7 , 1.9 , 1.9 , 2.5 , 2.2 , 2.5 , 2.5 , 2.3 , 2.4 , 2.6 , 2.6 , 2.6 , 2.7 , 2.8 , 2.4 , 2.6 , 2.2 , 2.6 , 2.7 , 2.6 , 2.5 , 2.5 , 2.5 , 2.6 , 2.6 , 2.7 , 3.2 , 2.6 , 2.5 , 2.3 , 2.6 , 2.5 , 2.7 , 3.3 , 2.8 , 2.7 , 2.7 , 2.5 , 3.1 , 2.8 , 3.2 , 2.6 , 2.4 , 2.2 , 2.5 , 2.7 , 3.2 , 2.8 , 2.6 , 2.2 , 2.8 , 2.7 , 2.6 , 2.8 , 2.6 , 2.6 , 2.4 , 2.6 , 2.8 , 3.1 , 2.5 , 2.6 , 2.3 , 2.7 , 2.4 , 2.6 , 2.7 , 2.4 , 3.0 , 2.6 , 2.0 , 2.8 , 2.8 , 2.7 , 2.9 , 2.9 , 2.6 , 3.3 , 2.8 , 2.8 , 2.7 , 2.5 , 3.3 , 2.6 , 2.5 , 3.1 , 2.7 , 2.8 , 2.5 , 2.4 , 2.6 , 2.5 , 2.8 , 2.4 , 3.0 , 2.5 , 2.6 , 2.6 , 2.6 , 2.2 , 2.3 , 2.5 , 2.7 , 2.6 , 2.5 , 2.7 , 2.3 , 2.8 , 2.2 , 2.1 , 1.5 , 2.7 , 2.8 , 2.7 , 2.6 ,2.4,2.6
Health, 3.0 , 2.8 , 2.3 , 3.0 , 2.3 , 3.5 , 4.6 , 3.5 , 2.2 , 1.8 , 1.9 , 3.0 , 2.3 , 2.5 , 2.5 , 2.2 , 2.6 , 2.9 , 2.8 , 3.0 , 2.2 , 3.3 , 3.2 , 3.1 , 3.5 , 2.1 , 2.0 , 3.1 , 2.4 , 3.9 , 3.0 , 3.2 , 2.9 , 2.9 , 2.6 , 3.2 , 2.6 , 3.0 , 3.0 , 3.5 , 3.7 , 3.1 , 2.4 , 3.0 , 2.7 , 3.0 , 2.8 , 3.4 , 3.5 , 5.2 , 3.3 , 3.3 , 3.9 , 3.3 , 2.6 , 3.2 , 3.2 , 3.0 , 3.9 , 2.8 , 3.1 , 2.5 , 2.7 , 3.4 , 2.1 , 2.8 , 3.2 , 2.1 , 2.3 , 3.7 , 4.4 , 4.7 , 3.1 , 3.4 , 3.2 , 4.4 , 2.5 , 2.3 , 2.3 , 3.0 , 3.8 , 2.5 , 3.6 , 2.0 , 2.7 , 2.5 , 2.9 , 2.6 , 2.3 , 2.6 , 2.2 , 1.7 , 4.9 , 2.1 , 4.3 , 2.6 , 2.4 , 2.8 , 2.1 , 3.4 , 1.9 , 2.8 , 2.5 , 3.5 , 2.7 , 3.0 , 3.4 , 2.9 , 2.7 , 2.5 , 2.0 , 3.4 , 2.6 , 2.5 , 2.4 , 2.3 , 3.4 , 3.2 , 3.7 , 3.7 , 4.0 , 1.9 , 2.7 , 3.1 , 3.1 , 2.3 , 2.9 , 2.3 , 2.5 , 1.4 , 1.1 , 1.4 , 1.4 , 1.3 , 1.5 , 1.4 ,0.8,1.8
