,PHILIPPINES,NATIONAL CAPITAL REGION,City of Manila,City of Mandaluyong,City of San Juan,Quezon City,City of Marikina,City of Pasig,City of Caloocan,City of Malabon,City of Navotas,City of Valenzuela,City of Las Pi?as,City of Muntinlupa,City of Para?aque,Pasay City,City of Makati,Pateros,City of Taguig,CAR - CORDILLERA ADMINISTRATIVE REGION,Abra,Benguet (Excluding City of Baguio),City of Baguio,Ifugao,Kalinga,Mountain Province,Apayao,REGION I - ILOCOS REGION,Ilocos Norte,Ilocos Sur,La Union,Pangasinan,REGION II - CAGAYAN VALLEY,Batanes,Cagayan,Isabela,Nueva Vizcaya,Quirino,REGION III - CENTRAL LUZON,Aurora,Bataan,Bulacan,Nueva Ecija,Pampanga (Excluding City of Angeles),City of Angeles,Tarlac,Zambales (Excluding City of Olongapo),City of Olongapo,REGION IVA - CALABARZON,Batangas,Cavite,Laguna,Quezon (Excluding City of Lucena),City of Lucena,Rizal,MIMAROPA REGION,Marinduque,Occidental Mindoro,Oriental Mindoro,Palawan (Excluding City of Puerto Princesa),City of Puerto Princesa,Romblon,REGION V - BICOL REGION,Albay,Camarines Norte,Camarines Sur,Catanduanes,Masbate,Sorsogon,REGION VI - WESTERN VISAYAS,Aklan,Antique,Capiz,Iloilo (Excluding City of Iloilo),City of Iloilo,Guimaras,NEGROS ISLAND REGION,Negros Occidental (Excluding City of Bacolod),City of Bacolod,Negros Oriental,Siquijor,REGION VII - CENTRAL VISAYAS,Bohol,Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),City of Cebu,City of Lapu-Lapu (Opon),City of Mandaue,REGION VIII - EASTERN VISAYAS,Eastern Samar,Leyte (Excluding City of Tacloban),City of Tacloban,Northern Samar,Samar (Western Samar),Southern Leyte,Biliran,REGION IX - ZAMBOANGA PENINSULA,Zamboanga Del Norte,Zamboanga Del Sur (Excluding City of Zamboanga),City of Zamboanga,Zamboanga Sibugay,Isabela City,REGION X - NORTHERN MINDANAO,Bukidnon,Camiguin,Lanao Del Norte (Excluding City of Iligan),City of Iligan,Misamis Occidental,Misamis Oriental (Excluding City of Cagayan De Oro),City of Cagayan De Oro,REGION XI - DAVAO REGION,Davao Del Norte,Davao Del Sur (Excluding City of Davao),City of Davao,Davao Oriental,Davao De Oro,Davao Occidental,REGION XII - SOCCSKSARGEN1/,Cotabato (North Cotabato),South Cotabato (Excluding City of General Santos),City of General Santos (Dadiangas),Sultan Kudarat,Sarangani,CARAGA,Agusan Del Norte (Excluding City of Butuan),City of Butuan,Agusan Del Sur,Surigao Del Norte,Surigao Del Sur,Dinagat Islands,BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,Basilan,Lanao Del Sur,Maguindanao,Maguindanao del Sur,Maguindanao del Norte,Sulu,Tawi-Tawi,Cotabato City
Share to Family Income,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0
Wage/Salaries,50.5,61.2,59.8,59.4,56.3,60.3,64.3,62.2,62.0,59.1,59.9,62.7,62.1,65.1,63.7,63.0,55.7,64.6,65.6,43.1,43.9,39.5,44.6,40.5,45.0,47.3,48.4,43.4,36.9,38.7,42.8,46.5,43.5,61.2,41.6,44.8,44.5,40.4,51.5,43.1,44.7,56.7,44.3,54.8,50.5,50.3,45.8,52.3,54.6,51.7,55.6,53.8,45.7,48.7,59.8,41.1,36.0,42.3,39.0,42.2,47.4,38.7,43.6,46.7,44.4,41.5,45.8,40.2,45.1,42.0,43.0,41.7,48.5,39.0,44.9,37.9,45.6,47.6,48.5,41.6,37.0,49.7,38.0,52.7,48.3,56.7,57.6,43.4,42.5,42.4,52.6,41.0,46.1,41.1,38.5,42.1,43.0,38.5,45.3,37.8,52.6,47.8,48.1,43.2,39.9,47.0,43.6,51.7,50.9,49.3,50.4,47.3,49.7,47.7,53.6,36.7,41.6,32.8,43.6,53.4,42.8,46.5,46.7,47.4,51.8,44.6,50.6,42.6,42.7,26.7,43.6,23.2,29.5,,,6.8,23.8,48.3
Entrepreneurial Activities,19.5,11.9,14.8,8.2,13.3,13.8,10.1,14.3,10.0,16.0,15.4,10.3,6.6,10.2,8.6,10.8,12.0,12.7,10.9,26.3,19.3,30.3,21.7,33.2,31.2,24.3,26.7,18.0,19.5,18.8,17.9,17.4,26.1,17.1,27.3,26.5,22.8,25.4,19.5,30.9,23.1,15.1,27.3,18.3,19.5,19.6,15.4,13.2,16.6,17.9,14.3,18.7,24.2,20.0,13.6,29.9,20.9,31.9,29.7,33.0,25.4,33.0,22.2,17.1,21.3,23.8,18.0,30.7,21.5,19.6,19.8,18.3,17.9,20.1,20.0,22.9,18.7,17.9,17.4,20.5,20.2,18.6,19.2,16.9,25.5,13.1,13.5,23.0,22.6,21.2,18.9,32.2,25.6,16.7,22.7,25.6,21.2,29.4,22.5,33.3,21.4,22.3,26.5,20.1,31.0,20.2,20.5,19.9,17.1,24.0,25.9,24.9,21.3,28.1,23.6,36.3,31.2,40.3,27.3,21.1,29.3,27.6,24.4,20.2,20.1,29.0,21.6,26.6,25.9,52.1,31.7,54.4,41.4,,,84.8,65.0,27.3
Cash Receipts from Abroad,9.6,6.6,6.3,4.0,3.8,7.0,6.2,5.4,8.8,9.4,8.4,7.0,9.3,6.6,6.8,6.5,4.8,5.1,5.2,8.0,13.1,7.6,9.4,6.7,4.3,5.1,6.1,16.5,22.0,20.6,16.8,14.0,11.7,3.1,12.0,11.5,12.1,11.1,11.6,6.6,14.2,10.9,9.2,13.5,9.6,11.2,16.1,13.8,11.2,14.0,11.2,11.5,8.9,10.9,9.7,6.7,10.8,5.3,10.2,3.1,5.9,4.5,6.2,6.7,7.2,7.3,6.2,1.7,6.0,15.1,8.8,15.4,10.4,18.7,13.7,17.6,10.5,9.3,11.9,11.0,14.4,11.1,15.4,11.1,7.7,13.1,8.1,7.0,4.7,8.1,6.8,3.0,3.5,14.4,12.3,7.8,7.0,9.1,9.3,5.3,5.3,8.2,4.9,9.1,7.6,11.2,11.6,8.5,9.3,7.2,5.1,7.6,9.6,4.2,4.1,2.7,7.9,7.2,9.3,8.1,8.6,5.2,6.5,9.6,8.8,3.8,5.4,7.8,3.5,5.2,9.8,1.2,11.0,,,0.7,1.3,6.2
Cash Receipts from Domestic Sources,4.9,3.0,3.4,1.7,3.8,2.9,2.8,2.0,6.4,4.7,5.8,6.3,1.4,2.3,1.8,2.6,1.3,2.4,2.1,4.4,7.3,4.0,3.2,4.1,5.5,6.0,4.7,6.7,6.0,5.8,6.6,7.2,4.5,3.1,4.6,4.1,5.1,4.5,3.7,6.1,3.9,3.6,4.0,3.3,4.9,4.8,4.5,2.5,3.3,3.9,3.1,2.4,6.8,4.2,2.8,8.1,15.2,7.3,7.5,8.2,5.5,9.4,10.6,9.8,10.1,9.4,10.6,13.7,12.3,7.0,8.6,10.4,9.0,6.2,3.4,6.3,6.8,8.1,3.8,6.6,8.4,4.8,6.9,5.5,3.1,2.5,3.2,10.0,12.7,9.9,3.9,9.4,11.4,11.4,10.9,9.7,12.9,10.1,7.2,10.0,5.1,5.5,6.0,7.9,7.9,5.3,8.5,4.7,2.9,4.8,4.6,5.4,3.7,6.5,6.3,10.1,4.7,4.5,5.0,3.7,5.7,5.6,6.6,7.4,4.4,6.7,5.6,8.0,9.7,4.7,5.6,7.6,5.5,,,1.1,2.1,3.9
Rentals Received,0.6,1.0,0.7,0.5,0.9,0.8,0.6,1.1,0.5,0.3,0.2,0.6,0.5,0.6,0.9,1.4,3.1,0.7,1.7,0.6,0.2,0.6,0.8,0.3,0.5,0.9,0.0,0.2,0.1,0.5,0.5,0.1,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.6,0.6,0.4,0.6,0.2,0.6,0.2,0.3,1.5,0.6,0.3,0.7,0.6,0.3,0.9,0.7,0.4,0.9,1.1,0.4,0.1,0.3,0.2,0.4,0.5,0.6,0.2,0.4,0.4,0.6,0.4,0.8,0.5,0.0,0.2,1.0,0.1,0.2,0.1,0.3,0.3,0.6,0.8,1.1,0.3,0.9,0.8,2.4,0.4,0.4,0.2,0.7,0.7,0.2,0.3,0.6,0.5,0.3,0.3,0.7,0.8,0.1,0.8,0.5,0.4,0.2,0.4,0.4,1.5,1.0,0.6,0.7,0.6,0.7,0.2,0.3,0.2,0.7,0.6,1.4,0.4,0.1,0.2,0.7,0.7,0.6,1.0,0.6,0.4,0.4,0.1,0.0,0.1,0.0,,,0.0,0.0,0.3
Interest,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,1.4,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.1,0.1,0.0,0.3,0.1,0.1,0.1,0.1,0.0,0.4,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.2,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.2,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.4,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.1,0.1,0.0,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Pension,2.9,2.9,3.1,2.0,3.5,2.9,3.3,2.5,2.3,1.2,0.7,2.3,3.5,2.5,2.9,3.5,4.7,2.6,2.8,3.1,3.1,2.5,3.8,2.0,2.8,5.0,2.2,3.5,2.5,4.5,3.6,3.6,1.9,1.9,2.2,1.5,2.6,1.4,2.5,2.0,2.5,2.7,2.8,1.2,2.9,3.4,3.5,2.3,2.8,2.0,3.5,3.1,2.4,3.9,2.2,2.0,4.0,1.5,1.5,1.5,2.8,2.9,3.5,5.0,3.2,3.2,4.3,2.0,2.8,3.2,4.1,3.6,2.9,2.8,4.0,2.0,4.9,5.1,4.7,4.8,3.4,2.8,3.9,1.9,3.7,2.2,2.7,3.6,3.0,4.4,5.3,1.5,2.9,4.0,3.5,3.3,2.9,2.4,4.5,3.0,2.9,3.2,1.3,3.4,2.8,5.4,4.1,2.3,4.9,2.6,3.1,3.3,2.8,1.6,1.6,1.0,2.7,3.5,2.3,2.4,2.4,1.2,3.7,3.5,4.4,3.0,3.6,4.0,3.7,0.6,0.8,0.7,0.3,,,0.0,0.7,1.9
Dividends,0.4,1.2,0.3,14.1,4.0,0.0,0.1,0.2,0.0,0.0,0.0,0.3,1.0,0.9,0.7,0.3,3.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.3,0.4,0.0,1.1,0.1,0.5,0.1,0.0,0.0,1.3,5.1,0.2,0.3,0.0,0.1,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.2,0.0,0.2,0.0,1.1,0.1,0.0,0.1,0.2,0.1,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.1,1.4,1.0,1.4,0.0,0.5,0.4,0.0,0.1,2.3,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.3,0.1,0.2,0.6,0.0,1.0,0.1,0.1,0.0,0.4,0.0,0.0,0.1,0.1,0.0,0.0,0.0,,,0.0,0.4,0.9
"Other Source of Income, NEC",0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.2,0.6,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.1,0.1,0.3,0.2,0.0,0.0,0.1,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,3.6,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.1,0.1,0.1,,,0.0,0.7,1.3
