,PHILIPPINES,NATIONAL CAPITAL REGION,City of Manila,City of Mandaluyong,City of San Juan,Quezon City,City of Marikina,City of Pasig,City of Caloocan,City of Malabon,City of Navotas,City of Valenzuela,City of Las Pi?as,City of Muntinlupa,City of Para?aque,Pasay City,City of Makati,Pateros,City of Taguig,CAR - CORDILLERA ADMINISTRATIVE REGION,Abra,Benguet (Excluding City of Baguio),City of Baguio,Ifugao,Kalinga,Mountain Province,Apayao,REGION I - ILOCOS REGION,Ilocos Norte,Ilocos Sur,La Union,Pangasinan,REGION II - CAGAYAN VALLEY,Batanes,Cagayan,Isabela,Nueva Vizcaya,Quirino,REGION III - CENTRAL LUZON,Aurora,Bataan,Bulacan,Nueva Ecija,Pampanga (Excluding City of Angeles),City of Angeles,Tarlac,Zambales (Excluding City of Olongapo),City of Olongapo,REGION IVA - CALABARZON,Batangas,Cavite,Laguna,Quezon (Excluding City of Lucena),City of Lucena,Rizal,MIMAROPA REGION,Marinduque,Occidental Mindoro,Oriental Mindoro,Palawan (Excluding City of Puerto Princesa),City of Puerto Princesa,Romblon,REGION V - BICOL REGION,Albay,Camarines Norte,Camarines Sur,Catanduanes,Masbate,Sorsogon,REGION VI - WESTERN VISAYAS,Aklan,Antique,Capiz,Iloilo (Excluding City of Iloilo),City of Iloilo,Guimaras,NEGROS ISLAND REGION,Negros Occidental (Excluding City of Bacolod),City of Bacolod,Negros Oriental,Siquijor,REGION VII - CENTRAL VISAYAS,Bohol,Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),City of Cebu,City of Lapu-Lapu (Opon),City of Mandaue,REGION VIII - EASTERN VISAYAS,Eastern Samar,Leyte (Excluding City of Tacloban),City of Tacloban,Northern Samar,Samar (Western Samar),Southern Leyte,Biliran,REGION IX - ZAMBOANGA PENINSULA,Zamboanga Del Norte,Zamboanga Del Sur (Excluding City of Zamboanga),City of Zamboanga,Zamboanga Sibugay,Isabela City,REGION X - NORTHERN MINDANAO,Bukidnon,Camiguin,Lanao Del Norte (Excluding City of Iligan),City of Iligan,Misamis Occidental,Misamis Oriental (Excluding City of Cagayan De Oro),City of Cagayan De Oro,REGION XI - DAVAO REGION,Davao Del Norte,Davao Del Sur (Excluding City of Davao),City of Davao,Davao Oriental,Davao De Oro,Davao Occidental,REGION XII - SOCCSKSARGEN1/,Cotabato (North Cotabato),South Cotabato (Excluding City of General Santos),City of General Santos (Dadiangas),Sultan Kudarat,Sarangani,CARAGA,Agusan Del Norte (Excluding City of Butuan),City of Butuan,Agusan Del Sur,Surigao Del Norte,Surigao Del Sur,Dinagat Islands,BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,Basilan,Lanao Del Sur,Maguindanao,Maguindanao del Sur,Maguindanao del Norte,Sulu,Tawi-Tawi,Cotabato City
Share to Family Expenditure, 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 , 100.0 ,,, 100.0 , 100.0 , 100.0 
Food and Non-Alcoholic Beverages, 42.6 , 38.1 , 42.5 , 35.3 , 34.2 , 36.7 , 35.9 , 38.8 , 44.5 , 47.0 , 47.9 , 44.1 , 34.4 , 35.3 , 30.4 , 30.9 , 31.1 , 39.5 , 41.7 , 34.5 , 46.0 , 31.1 , 25.9 , 41.5 , 47.2 , 42.3 , 41.7 , 46.6 , 44.7 , 44.5 , 45.2 , 47.9 , 46.8 , 32.6 , 46.1 , 48.9 , 44.5 , 43.5 , 42.7 , 45.4 , 41.2 , 38.9 , 45.3 , 45.4 , 40.9 , 46.0 , 44.3 , 39.0 , 40.0 , 39.3 , 38.5 , 41.2 , 45.8 , 42.9 , 38.7 , 47.0 , 42.2 , 47.5 , 46.9 , 50.9 , 41.8 , 46.6 , 47.0 , 45.8 , 48.0 , 44.9 , 45.9 , 52.8 , 49.0 , 42.3 , 40.8 , 49.8 , 46.0 , 40.7 , 37.3 , 48.8 , 43.1 , 47.4 , 37.3 , 39.3 , 38.2 , 43.1 , 38.2 , 46.1 , 41.6 , 43.5 , 42.6 , 45.8 , 46.6 , 45.5 , 37.9 , 47.5 , 49.3 , 46.5 , 43.5 , 49.7 , 48.0 , 55.0 , 47.7 , 49.5 , 45.4 , 43.9 , 46.0 , 40.5 , 54.9 , 44.5 , 45.6 , 43.2 , 36.9 , 46.1 , 48.6 , 47.2 , 42.7 , 50.7 , 49.4 , 52.2 , 47.1 , 49.2 , 44.7 , 42.0 , 50.8 , 50.9 , 45.0 , 48.0 , 43.4 , 44.2 , 46.7 , 43.5 , 45.9 , 59.9 , 58.5 , 59.5 , 59.3 ,,, 66.0 , 61.0 , 53.4 
    Food Consumed at Home, 33.6 , 26.2 , 27.1 , 22.3 , 22.0 , 25.0 , 24.1 , 27.1 , 31.8 , 33.7 , 36.3 , 32.3 , 25.0 , 26.3 , 22.7 , 22.9 , 19.3 , 26.0 , 28.3 , 31.0 , 41.9 , 27.8 , 22.2 , 38.3 , 41.6 , 40.3 , 40.8 , 34.8 , 33.8 , 35.7 , 33.3 , 35.3 , 39.5 , 31.4 , 39.6 , 40.7 , 36.6 , 38.9 , 32.6 , 39.8 , 31.9 , 28.9 , 35.1 , 33.6 , 29.9 , 36.5 , 36.9 , 30.1 , 29.5 , 28.2 , 29.0 , 30.5 , 35.0 , 29.7 , 27.8 , 41.7 , 36.4 , 42.7 , 41.4 , 46.3 , 35.1 , 42.0 , 40.9 , 37.3 , 39.4 , 40.4 , 40.7 , 48.3 , 43.2 , 37.5 , 35.6 , 45.6 , 38.9 , 37.3 , 30.4 , 44.2 , 36.7 , 40.4 , 29.4 , 34.7 , 34.5 , 34.0 , 34.2 , 36.6 , 29.8 , 32.6 , 31.2 , 41.5 , 43.3 , 41.0 , 32.6 , 44.1 , 45.3 , 40.8 , 39.5 , 44.9 , 44.6 , 50.8 , 41.5 , 45.0 , 40.5 , 38.0 , 40.5 , 36.4 , 49.4 , 37.6 , 42.0 , 37.2 , 29.4 , 38.6 , 42.7 , 41.7 , 32.5 , 46.6 , 45.5 , 48.8 , 40.8 , 44.1 , 37.5 , 34.1 , 44.6 , 45.4 , 40.4 , 42.1 , 37.2 , 39.4 , 43.2 , 39.8 , 43.0 , 54.0 , 53.6 , 53.6 , 50.9 ,,, 65.3 , 59.6 , 43.4 
    Food Regularly Consumed Outside the Home, 9.0 , 12.0 , 15.4 , 13.1 , 12.1 , 11.7 , 11.8 , 11.7 , 12.8 , 13.3 , 11.6 , 11.8 , 9.4 , 9.0 , 7.7 , 8.0 , 11.9 , 13.6 , 13.3 , 3.6 , 4.1 , 3.3 , 3.7 , 3.3 , 5.7 , 1.9 , 0.9 , 11.8 , 10.9 , 8.8 , 11.9 , 12.6 , 7.3 , 1.2 , 6.5 , 8.2 , 8.0 , 4.6 , 10.1 , 5.6 , 9.3 , 10.0 , 10.2 , 11.7 , 11.0 , 9.5 , 7.4 , 9.0 , 10.5 , 11.0 , 9.5 , 10.6 , 10.9 , 13.2 , 11.0 , 5.3 , 5.9 , 4.8 , 5.5 , 4.5 , 6.7 , 4.5 , 6.1 , 8.4 , 8.6 , 4.5 , 5.2 , 4.5 , 5.8 , 4.8 , 5.2 , 4.2 , 7.1 , 3.4 , 6.9 , 4.5 , 6.5 , 7.0 , 7.9 , 4.6 , 3.7 , 9.2 , 4.0 , 9.5 , 11.9 , 10.8 , 11.4 , 4.3 , 3.2 , 4.4 , 5.3 , 3.4 , 4.0 , 5.7 , 4.0 , 4.7 , 3.4 , 4.2 , 6.2 , 4.5 , 4.9 , 5.9 , 5.5 , 4.1 , 5.5 , 6.9 , 3.6 , 6.0 , 7.6 , 7.4 , 5.9 , 5.5 , 10.2 , 4.1 , 3.9 , 3.4 , 6.4 , 5.1 , 7.2 , 7.9 , 6.2 , 5.5 , 4.6 , 5.9 , 6.3 , 4.8 , 3.5 , 3.8 , 2.9 , 5.8 , 4.9 , 5.9 , 8.4 ,,, 0.7 , 1.4 , 10.0 
"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages", -, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,, -   , -   , -   
Alcoholic Beverages and Tobacco, 1.8 , 1.5 , 1.6 , 1.1 , 1.1 , 1.6 , 1.5 , 1.5 , 2.0 , 2.0 , 2.1 , 1.5 , 1.3 , 1.9 , 1.4 , 1.6 , 1.0 , 1.9 , 1.5 , 1.4 , 1.7 , 1.2 , 0.9 , 2.2 , 2.1 , 1.8 , 1.7 , 1.8 , 1.6 , 1.9 , 1.7 , 1.8 , 2.3 , 1.6 , 2.4 , 2.3 , 2.1 , 2.0 , 2.4 , 2.1 , 1.6 , 2.1 , 2.8 , 3.1 , 2.5 , 2.5 , 2.1 , 2.0 , 1.9 , 1.5 , 1.9 , 2.0 , 2.2 , 2.5 , 1.8 , 1.8 , 1.4 , 1.9 , 2.0 , 1.9 , 1.2 , 1.5 , 1.8 , 1.4 , 1.8 , 1.8 , 2.1 , 1.8 , 1.9 , 2.0 , 2.0 , 1.4 , 1.9 , 2.1 , 1.6 , 3.1 , 1.9 , 2.5 , 1.5 , 1.3 , 1.5 , 1.3 , 0.8 , 1.4 , 1.3 , 1.2 , 1.4 , 1.7 , 1.6 , 1.7 , 1.4 , 1.7 , 2.0 , 1.2 , 1.8 , 1.8 , 1.9 , 1.7 , 1.7 , 1.7 , 2.1 , 1.5 , 1.4 , 1.8 , 1.6 , 1.2 , 1.2 , 1.9 , 1.5 , 1.9 , 1.6 , 2.5 , 1.9 , 2.2 , 1.6 , 2.2 , 2.3 , 2.2 , 2.4 , 1.8 , 2.7 , 2.9 , 1.6 , 1.5 , 1.6 , 1.6 , 1.6 , 1.6 , 1.4 , 1.6 , 1.7 , 1.4 , 2.1 ,,, 1.3 , 1.2 , 1.0 
Clothing and Footwear, 2.6 , 2.1 , 2.1 , 2.2 , 2.2 , 2.0 , 1.7 , 2.7 , 1.8 , 1.4 , 2.1 , 1.9 , 2.0 , 2.4 , 2.2 , 2.5 , 2.5 , 2.1 , 2.4 , 3.4 , 3.2 , 3.7 , 2.8 , 4.1 , 2.8 , 4.2 , 4.2 , 2.2 , 2.3 , 2.1 , 2.9 , 2.0 , 2.6 , 3.8 , 2.5 , 2.4 , 2.9 , 3.2 , 2.5 , 3.5 , 2.9 , 2.1 , 2.3 , 2.5 , 2.4 , 3.0 , 2.2 , 2.6 , 2.5 , 2.6 , 2.5 , 2.4 , 3.0 , 2.4 , 2.4 , 3.3 , 3.0 , 3.5 , 2.8 , 3.7 , 3.6 , 2.8 , 2.8 , 3.0 , 2.4 , 2.6 , 2.9 , 3.6 , 2.4 , 3.1 , 3.0 , 3.3 , 2.9 , 3.0 , 3.2 , 3.3 , 3.1 , 3.0 , 3.3 , 3.0 , 4.7 , 2.3 , 2.6 , 2.2 , 2.2 , 2.0 , 2.0 , 2.6 , 2.9 , 2.3 , 2.6 , 2.6 , 3.0 , 2.8 , 3.2 , 3.2 , 3.4 , 3.1 , 2.6 , 3.8 , 2.7 , 2.9 , 3.7 , 3.3 , 3.1 , 3.1 , 2.8 , 2.4 , 2.4 , 2.6 , 2.5 , 3.1 , 2.4 , 2.7 , 2.9 , 3.6 , 3.1 , 3.1 , 3.1 , 3.1 , 3.4 , 2.9 , 3.1 , 2.3 , 2.9 , 3.8 , 2.7 , 3.0 , 3.4 , 2.5 , 2.8 , 2.5 , 2.6 ,,, 2.3 , 3.1 , 2.1 
"Housing, Water, Electricity, Gas and Other Fuels", 20.3 , 25.5 , 24.3 , 25.9 , 28.2 , 24.3 , 25.0 , 24.7 , 22.2 , 22.9 , 22.9 , 23.8 , 29.2 , 25.0 , 29.4 , 30.8 , 33.3 , 24.8 , 23.4 , 24.2 , 19.7 , 25.4 , 31.2 , 17.0 , 18.0 , 14.8 , 15.9 , 18.4 , 19.2 , 19.9 , 17.4 , 18.3 , 18.0 , 22.7 , 18.8 , 17.9 , 17.2 , 15.2 , 19.0 , 14.7 , 19.7 , 19.7 , 19.4 , 17.6 , 22.5 , 16.7 , 19.1 , 24.2 , 19.8 , 21.1 , 20.2 , 19.2 , 16.4 , 18.6 , 20.4 , 17.8 , 17.3 , 13.8 , 17.7 , 17.5 , 24.7 , 16.7 , 17.7 , 18.8 , 17.6 , 19.1 , 18.0 , 13.1 , 16.8 , 18.0 , 18.3 , 13.5 , 15.9 , 18.0 , 24.1 , 15.3 , 19.7 , 16.5 , 21.8 , 24.5 , 19.7 , 22.4 , 21.3 , 20.8 , 24.9 , 24.3 , 25.5 , 17.5 , 17.4 , 17.8 , 21.4 , 18.6 , 16.0 , 16.2 , 14.7 , 16.3 , 16.1 , 12.8 , 20.4 , 13.2 , 15.6 , 19.3 , 16.8 , 19.6 , 16.2 , 20.8 , 16.4 , 19.4 , 23.9 , 19.4 , 17.9 , 19.1 , 21.8 , 14.9 , 17.1 , 14.7 , 15.7 , 16.1 , 14.5 , 18.0 , 14.9 , 14.0 , 16.5 , 16.2 , 17.4 , 14.9 , 18.9 , 15.7 , 14.5 , 14.6 , 11.0 , 15.3 , 14.6 ,,, 11.9 , 15.4 , 19.5 
Furnishings and Routine Household Maintenance, 2.3 , 2.2 , 1.7 , 2.1 , 2.6 , 2.5 , 2.3 , 2.1 , 1.8 , 1.7 , 2.0 , 1.8 , 2.1 , 3.0 , 3.4 , 1.7 , 3.0 , 1.4 , 1.5 , 2.0 , 2.2 , 1.9 , 2.1 , 2.0 , 1.6 , 2.0 , 2.2 , 2.5 , 2.3 , 2.5 , 2.5 , 2.6 , 2.2 , 2.4 , 2.1 , 2.2 , 2.2 , 2.3 , 2.2 , 2.6 , 2.3 , 2.2 , 2.2 , 2.1 , 2.3 , 2.2 , 2.3 , 2.2 , 2.4 , 2.7 , 2.0 , 2.4 , 2.2 , 2.3 , 2.6 , 2.3 , 2.6 , 2.5 , 2.1 , 2.2 , 2.0 , 3.0 , 2.4 , 2.6 , 2.3 , 2.3 , 2.6 , 2.3 , 2.5 , 2.6 , 2.6 , 2.6 , 2.5 , 2.5 , 2.7 , 2.5 , 2.7 , 2.5 , 3.1 , 2.7 , 2.7 , 2.4 , 2.7 , 2.4 , 2.3 , 2.0 , 2.3 , 2.6 , 2.5 , 2.6 , 2.9 , 2.4 , 2.4 , 2.7 , 3.0 , 2.0 , 2.0 , 2.2 , 1.8 , 2.5 , 1.5 , 2.2 , 2.4 , 2.4 , 1.8 , 2.1 , 2.3 , 2.0 , 2.3 , 2.0 , 1.8 , 2.4 , 1.7 , 2.4 , 2.4 , 2.4 , 2.1 , 2.3 , 2.1 , 1.9 , 2.0 , 2.3 , 2.2 , 2.1 , 2.5 , 2.4 , 1.8 , 2.2 , 2.2 , 1.3 , 1.3 , 1.8 , 1.2 ,,, 0.9 , 1.2 , 1.3 
Health, 2.8 , 2.1 , 2.0 , 1.8 , 3.3 , 2.3 , 3.0 , 2.1 , 1.8 , 1.8 , 1.7 , 2.3 , 1.8 , 3.2 , 1.8 , 2.9 , 1.9 , 1.6 , 1.8 , 3.6 , 2.7 , 4.5 , 3.6 , 3.0 , 3.0 , 2.9 , 2.5 , 2.8 , 3.1 , 3.3 , 3.2 , 2.5 , 2.3 , 2.4 , 2.5 , 1.9 , 2.9 , 3.0 , 3.1 , 3.4 , 3.5 , 3.9 , 3.3 , 2.4 , 2.3 , 2.4 , 2.5 , 2.3 , 3.0 , 3.1 , 3.1 , 2.9 , 3.1 , 3.8 , 2.9 , 2.5 , 3.0 , 2.2 , 2.9 , 2.1 , 2.3 , 2.5 , 3.5 , 3.4 , 3.9 , 4.2 , 2.7 , 2.0 , 3.1 , 3.7 , 4.1 , 4.5 , 2.6 , 4.1 , 3.1 , 2.8 , 3.0 , 2.8 , 3.5 , 2.9 , 2.9 , 2.9 , 3.2 , 2.7 , 2.9 , 2.3 , 3.4 , 2.7 , 2.5 , 3.1 , 2.7 , 1.7 , 2.0 , 3.8 , 3.0 , 2.5 , 2.4 , 2.1 , 2.8 , 2.5 , 1.5 , 2.7 , 3.2 , 3.2 , 1.8 , 2.8 , 2.4 , 2.3 , 2.9 , 2.2 , 2.3 , 2.3 , 2.2 , 1.7 , 2.2 , 1.8 , 3.3 , 3.5 , 4.1 , 3.4 , 2.3 , 1.8 , 2.6 , 2.7 , 2.8 , 2.6 , 2.1 , 2.7 , 3.0 , 1.1 , 1.4 , 1.4 , 1.1 ,,, 0.6 , 0.6 , 1.4 
