,PHILIPPINES,NATIONAL CAPITAL REGION,City of Manila,City of Mandaluyong,City of San Juan,Quezon City,City of Marikina,City of Pasig,City of Caloocan,City of Malabon,City of Navotas,City of Valenzuela,City of Las Pi?as,City of Muntinlupa,City of Para?aque,Pasay City,City of Makati,Pateros,City of Taguig,CAR - CORDILLERA ADMINISTRATIVE REGION,Abra,Benguet (Excluding City of Baguio),City of Baguio,Ifugao,Kalinga,Mountain Province,Apayao,REGION I - ILOCOS REGION,Ilocos Norte,Ilocos Sur,La Union,Pangasinan,REGION II - CAGAYAN VALLEY,Batanes,Cagayan,Isabela,Nueva Vizcaya,Quirino,REGION III - CENTRAL LUZON,Aurora,Bataan,Bulacan,Nueva Ecija,Pampanga (Excluding City of Angeles),City of Angeles,Tarlac,Zambales (Excluding City of Olongapo),City of Olongapo,REGION IVA - CALABARZON,Batangas,Cavite,Laguna,Quezon (Excluding City of Lucena),City of Lucena,Rizal,MIMAROPA REGION,Marinduque,Occidental Mindoro,Oriental Mindoro,Palawan (Excluding City of Puerto Princesa),City of Puerto Princesa,Romblon,REGION V - BICOL REGION,Albay,Camarines Norte,Camarines Sur,Catanduanes,Masbate,Sorsogon,REGION VI - WESTERN VISAYAS,Aklan,Antique,Capiz,Iloilo (Excluding City of Iloilo),City of Iloilo,Guimaras,NEGROS ISLAND REGION,Negros Occidental (Excluding City of Bacolod),City of Bacolod,Negros Oriental,Siquijor,REGION VII - CENTRAL VISAYAS,Bohol,Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),City of Cebu,City of Lapu-Lapu (Opon),City of Mandaue,REGION VIII - EASTERN VISAYAS,Eastern Samar,Leyte (Excluding City of Tacloban),City of Tacloban,Northern Samar,Samar (Western Samar),Southern Leyte,Biliran,REGION IX - ZAMBOANGA PENINSULA,Zamboanga Del Norte,Zamboanga Del Sur (Excluding City of Zamboanga),City of Zamboanga,Zamboanga Sibugay,Isabela City,REGION X - NORTHERN MINDANAO,Bukidnon,Camiguin,Lanao Del Norte (Excluding City of Iligan),City of Iligan,Misamis Occidental,Misamis Oriental (Excluding City of Cagayan De Oro),City of Cagayan De Oro,REGION XI - DAVAO REGION,Davao Del Norte,Davao Del Sur (Excluding City of Davao),City of Davao,Davao Oriental,Davao De Oro,Davao Occidental,REGION XII - SOCCSKSARGEN1/,Cotabato (North Cotabato),South Cotabato (Excluding City of General Santos),City of General Santos (Dadiangas),Sultan Kudarat,Sarangani,CARAGA,Agusan Del Norte (Excluding City of Butuan),City of Butuan,Agusan Del Sur,Surigao Del Norte,Surigao Del Sur,Dinagat Islands,BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,Basilan,Lanao Del Sur,Maguindanao,Maguindanao del Sur,Maguindanao del Norte,Sulu,Tawi-Tawi,Cotabato City
Share to Family Income,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
Wage/Salaries,56.1,66.5,64.3,63.5,55.9,69.5,64.3,69.2,66.4,69.8,71.7,72.1,69.7,68.3,63.2,69.1,60.2,65.2,66.0,51.4,49.3,45.8,60.5,46.5,53.0,51.2,43.3,47.5,42.4,46.8,47.1,49.4,45.6,59.7,46.1,44.0,46.7,51.1,59.3,47.4,57.6,65.1,59.7,58.5,50.5,54.4,53.9,57.5,60.5,53.2,62.2,62.1,50.4,55.7,66.0,46.8,43.6,45.1,47.3,41.4,56.5,53.7,49.4,51.6,56.8,48.3,48.1,40.1,52.5,49.0,45.5,43.3,46.9,51.2,53.1,49.2,55.1,55.5,61.6,52.1,40.5,58.2,49.2,57.9,63.8,59.1,65.6,48.9,48.9,52.5,58.7,42.0,46.5,41.8,43.8,47.7,48.6,46.4,49.4,44.8,52.2,54.5,57.8,49.3,44.8,54.4,49.7,54.2,59.1,51.4,56.2,52.3,49.0,54.9,54.2,45.2,45.3,39.7,54.9,53.8,36.1,45.8,50.5,50.8,55.0,47.0,50.4,50.1,49.6,25.9,43.4,27.9,25.8,22.8,28.9,13.9,24.8,44.4
Entrepreneurial Activities,16.8,11.2,16.2,12.4,13.7,9.1,9.3,10.6,13.4,11.2,9.7,9.6,5.8,7.4,9.4,10.8,12.6,14.1,12.2,19.3,15.4,24.1,11.8,24.5,18.2,24.4,26.2,15.7,17.5,16.3,16.5,14.7,25.5,14.4,26.1,26.1,24.4,20.6,14.8,24.9,13.3,12.5,19.1,14.5,19.5,14.4,13.8,9.9,12.9,14.8,9.3,13.8,21.0,16.1,12.4,26.0,15.2,30.7,19.1,38.0,19.5,19.6,20.6,15.5,16.3,20.7,18.0,33.2,20.8,15.7,19.4,17.5,17.8,12.9,17.1,16.8,15.7,16.1,14.2,15.8,17.5,14.2,15.8,13.9,14.4,13.4,12.8,18.2,20.0,15.6,12.5,25.6,22.0,15.5,19.0,21.8,21.1,21.6,20.8,23.6,27.0,19.8,24.2,17.4,28.1,18.3,16.8,19.5,12.8,22.8,18.5,22.9,23.7,21.6,23.5,27.7,28.7,33.0,19.2,19.6,40.5,29.4,21.6,17.9,15.5,25.6,24.8,20.8,24.2,52.3,32.6,45.8,54.3,57.8,50.7,74.7,49.5,32.9
Cash Receipts from Abroad,7.8,4.6,4.1,5.5,4.6,3.2,5.4,3.5,6.1,5.0,3.6,4.2,6.4,8.5,6.9,3.5,3.1,5.1,4.7,5.9,11.8,5.0,6.5,4.7,4.5,3.6,5.3,13.8,20.3,14.7,12.6,11.9,9.2,3.4,8.6,9.8,9.2,8.5,10.4,7.1,12.0,8.3,6.1,13.0,9.6,13.4,12.2,12.3,9.4,11.3,12.8,7.5,6.3,10.0,6.3,5.1,7.7,4.4,9.1,1.8,3.2,5.0,6.2,5.7,5.3,8.3,6.2,3.2,4.6,12.9,8.4,12.1,10.5,15.6,12.5,11.4,7.6,7.1,7.6,7.8,14.8,9.0,10.6,10.6,4.8,9.5,5.2,6.3,5.7,6.3,4.3,3.4,5.2,12.5,11.9,6.8,6.8,6.6,7.2,6.3,6.9,6.2,3.1,7.1,4.9,5.8,9.7,6.8,8.1,5.4,4.8,6.0,6.1,4.1,4.4,2.5,7.0,7.4,6.8,8.5,6.0,5.4,5.5,8.4,8.1,4.3,3.6,5.0,3.5,4.1,7.9,1.5,4.5,4.0,4.9,2.5,3.8,5.2
Cash Receipts from Domestic Sources,4.2,2.1,2.9,1.9,1.9,1.6,2.2,1.6,2.3,2.7,3.0,2.4,1.4,3.0,2.4,4.6,0.9,1.7,1.8,3.8,7.4,2.9,1.8,4.9,5.2,5.5,5.4,5.5,5.3,3.4,4.0,6.7,4.3,3.6,3.9,4.9,3.8,3.8,3.0,7.0,3.1,3.2,2.5,2.6,4.9,3.3,3.8,2.6,3.0,4.4,2.0,2.8,6.6,2.8,2.3,7.1,14.0,6.5,8.0,5.5,4.3,8.9,8.7,7.9,8.4,8.5,9.5,9.9,9.2,6.5,8.0,10.2,8.6,5.6,2.4,6.7,5.9,6.1,3.2,6.8,7.3,4.0,6.0,4.2,2.6,3.1,2.7,10.1,9.3,9.3,4.9,12.4,12.0,12.4,10.5,8.6,10.0,9.0,7.4,8.7,4.7,4.5,3.2,7.3,6.9,3.7,6.7,5.2,2.9,3.6,3.9,3.8,2.4,6.2,5.0,8.9,4.8,5.4,4.8,3.5,4.7,5.7,6.9,7.1,3.8,8.0,6.7,8.0,8.5,4.7,5.7,7.6,4.5,4.8,4.2,1.5,0.8,4.4
Rentals Received,0.6,0.9,0.5,0.6,0.7,1.2,0.8,0.7,0.4,0.2,0.2,0.6,0.4,0.9,1.5,0.9,1.3,0.3,1.2,1.4,0.5,1.3,2.7,1.0,0.5,0.9,0.2,1.2,0.1,1.1,4.4,0.5,0.5,0.8,0.4,0.4,0.8,0.4,0.3,0.7,0.6,0.2,0.2,0.3,0.6,0.5,0.3,1.2,0.8,1.6,0.7,0.7,0.3,0.3,0.4,0.5,0.5,0.8,0.5,0.3,0.5,0.1,0.5,0.5,0.5,0.8,0.5,0.3,0.2,0.3,0.5,0.4,0.2,0.2,0.4,0.2,0.3,0.3,0.1,0.5,0.6,0.5,0.2,0.3,0.8,0.5,1.4,0.6,0.7,0.5,0.4,0.6,0.6,0.5,0.6,0.3,0.4,0.5,0.1,0.4,0.1,0.7,0.8,0.6,0.3,0.6,0.5,0.5,1.0,0.6,0.7,0.9,0.6,0.4,0.4,0.5,0.5,0.4,0.6,0.4,0.8,0.2,0.5,0.4,0.6,0.4,0.6,0.4,0.4,0.3,0.2,0.8,0.0,0.0,0.0,0.2,0,0.1
Interest,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.9,0.2,0.1,0.1,0.0,0.2,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.4,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.2,0.2,0.1,0.1,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.2,0.0,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.2,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Pension,2.5,2.5,1.6,3.3,3.5,2.7,4.0,2.7,1.3,1.2,0.6,1.7,3.0,1.8,2.1,1.8,3.9,2.1,2.8,3.4,3.1,2.9,3.4,3.6,2.9,3.4,6.3,3.8,2.0,3.9,4.0,4.3,2.1,4.2,2.7,1.3,2.8,3.0,1.7,2.7,2.0,1.4,1.7,0.9,2.9,3.0,2.3,2.3,2.5,2.0,2.7,2.6,2.1,3.1,2.6,2.1,4.9,1.1,1.7,1.1,3.6,3.7,2.4,4.3,1.6,1.8,3.0,1.3,2.0,2.7,3.3,3.6,2.1,2.2,3.5,2.5,3.6,3.5,3.2,3.7,6.1,2.3,4.9,1.8,1.9,1.2,2.3,2.8,3.3,1.8,5.4,2.8,2.0,5.5,2.4,3.0,2.1,3.2,3.7,2.9,3.0,2.8,1.1,3.7,2.8,4.9,4.7,2.7,2.7,3.1,3.2,3.3,3.3,2.0,2.7,1.6,2.1,1.8,2.6,3.4,1.4,0.6,3.2,3.5,5.2,2.1,2.5,3.5,1.2,0.6,0.9,0.6,0.3,0.4,0.3,0.0,0.2,2.6
Dividends,0.4,0.9,0.4,0.1,6.2,0.7,0.3,0.3,0.1,0.0,0.0,0.0,0.3,0.3,3.0,0.1,3.6,0.0,0.6,0.2,0.1,0.2,0.3,0.1,0.1,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.1,0.3,1.0,0.1,0.1,0.6,0.0,0.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.2,0.1,0.1,0.0,0.0,1.2,0.0,0.2,0.0,0.1,0.6,0.0,0.2,0.0,0.1,0.5,0.1,0.7,0.1,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.2,0.0,0.5,0.4,0.1,0.0,0.5,0.1,0.1,0.0,0.3,0.3,0.1,2.0,1.1,0.1,0.2,2.1,0.0,0.1,0.1,0.1,0.0,0.3,0.3,0.1,0.0,0.2,0.1,0.7,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0,0.4
"Other Source of Income, NEC",0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.2,0.0,0.1,0.2,0.2,0.2,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.2,0.0,0.1,0.2,0.1,0.0,0.1,0.2,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.3,0.1,0.3,0.3,0.2,0.7,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.3,0.0,0.1,0.2,0.0,0.1,0.2,0.0,0.1,0.2,0.1,0.0,0.2,0.1,0.0,0.1,0.1,0.2,0.5,0.0,0.1,0.1,0.0,0.2,0.1,0.0,0.2,0.4,0.0,0.4,0.3,0.1,0.1,0.1,0.1,0.1,1.2,0.1,0.1
